Id;ActivityDate;TotalSteps;TotalDistance;TrackerDistance;LoggedActivitiesDistance;VeryActiveDistance;ModeratelyActiveDistance;LightActiveDistance;SedentaryActiveDistance;VeryActiveMinutes;FairlyActiveMinutes;LightlyActiveMinutes;SedentaryMinutes;Calories
1624580081;4/5/2016;1335;8,7E+14;8,7E+14;0;0;0;8,7E+14;0;0;0;74;1366;1308
1624580081;4/6/2016;1004;6,5E+14;6,5E+14;0;0;0;6,5E+14;0;0;0;55;1385;1276
1624580081;4/7/2016;1111;7,2E+14;7,2E+14;0;0;0;7,2E+14;0;0;0;54;1386;1278
1624580081;4/8/2016;6344;4,12E+14;4,12E+14;0;0;0;4,1E+14;0;0;0;143;1297;1409
1624580081;4/9/2016;3572;2,32E+13;2,32E+13;0;0;0;2,29E+14;3E+14;0;0;122;1318;1370
1624580081;4/10/2016;3910;2,54E+14;2,54E+14;0;4,7E+14;25;1,81E+14;1E+15;7;7;186;1240;1555
1624580081;4/11/2016;10000;65;65;0;0;0;65;0;0;0;172;1268;1469
1624580081;4/12/2016;6627;4,31E+14;4,31E+14;0;0;0;4,31E+14;0;0;0;89;604;706
1644430081;4/1/2016;4636;3,41E+14;3,41E+14;0;0;7,8E+14;2,6E+14;3E+14;0;16;586;838;3323
1644430081;4/2/2016;20237;1,471E+13;1,471E+13;0;2,57E+13;6,4E+14;5,73E+14;1E+15;34;141;347;918;4029
1644430081;4/3/2016;12912;9,41E+14;9,41E+14;0;4,83E+14;7,7E+14;3,79E+14;3E+14;59;16;283;1082;3436
1644430081;4/4/2016;2819;2,05E+14;2,05E+14;0;3,1E+14;1,7E+14;1,56E+14;1E+15;4;4;87;1345;2444
1644430081;4/5/2016;9921;7,21E+14;7,21E+14;0;3,4E+14;1,52E+14;5,36E+13;0;5;35;219;1181;3098
1644430081;4/6/2016;8046;5,85E+14;5,85E+14;0;1,29E+14;2,12E+14;2,45E+14;0;18;41;137;1244;2925
1644430081;4/7/2016;11166;8,12E+14;8,12E+14;0;2,1E+14;2,41E+14;55;0;3;58;230;1149;3202
1644430081;4/8/2016;7842;5,7E+14;5,7E+14;0;4,8E+14;2,41E+14;2,81E+14;0;7;43;161;1229;2928
1644430081;4/9/2016;13840;1,006E+14;1,006E+14;0;1,31E+14;3,72E+14;5,03E+14;0;18;81;192;1149;3290
1644430081;4/10/2016;1329;9,7E+14;9,7E+14;0;0;0;9,7E+14;0;0;0;35;207;489
1844505072;4/1/2016;6847;4,53E+14;4,53E+14;0;6,1E+14;3,7E+14;3,55E+14;0;9;9;251;1171;1969
1844505072;4/2/2016;5367;3,55E+14;3,55E+14;0;0;0;3,55E+14;0;0;0;263;1177;1889
1844505072;4/3/2016;2841;1,88E+14;1,88E+14;0;0;0;1,88E+14;0;0;0;136;1114;1636
1844505072;4/4/2016;0;0;0;0;0;0;0;0;0;0;0;669;1347
1844505072;4/5/2016;0;0;0;0;0;0;0;0;0;0;0;1440;1347
1844505072;4/6/2016;7;0;0;0;0;0;0;0;0;0;1;1439;1349
1844505072;4/7/2016;6344;4,19E+14;4,19E+14;0;0;0;4,19E+14;0;0;0;290;1150;1965
1844505072;4/8/2016;5316;3,51E+14;3,51E+14;0;0;0;3,51E+14;0;0;0;221;1219;1824
1844505072;4/9/2016;4979;3,29E+14;3,29E+14;0;0;0;3,29E+14;0;0;0;184;620;1807
1844505072;4/10/2016;6556;4,34E+14;4,34E+14;0;0;0;4,33E+14;0;0;0;305;810;1971
1844505072;4/11/2016;5430;3,59E+14;3,59E+14;0;0;0;3,59E+14;0;0;0;251;1189;1888
1844505072;4/12/2016;0;0;0;0;0;0;0;0;0;0;0;426;399
1927972279;4/1/2016;4317;2,99E+14;2,99E+14;0;0;3,7E+14;2,62E+14;0;0;11;192;854;2590
1927972279;4/2/2016;5662;3,92E+14;3,92E+14;0;0;0;3,92E+14;0;0;0;267;858;2783
1927972279;4/3/2016;3198;2,21E+14;2,21E+14;0;0;0;2,21E+14;0;0;0;146;1183;2449
1927972279;4/4/2016;2352;1,63E+14;1,63E+14;0;0;0;1,63E+14;0;0;0;128;829;2380
1927972279;4/5/2016;2234;1,55E+14;1,55E+14;0;0;0;1,55E+14;0;0;0;108;912;2344
1927972279;4/6/2016;1259;8,7E+14;8,7E+14;0;0;0;8,7E+14;0;0;0;73;938;2202
1927972279;4/7/2016;768;5,3E+14;5,3E+14;0;0;0;5,3E+14;0;0;0;43;1397;2130
1927972279;4/8/2016;519;3,6E+14;3,6E+14;0;0;0;3,6E+14;0;0;0;34;1406;2088
1927972279;4/9/2016;2523;175;175;0;0;3,7E+14;1,38E+14;0;0;9;134;1250;2443
1927972279;4/10/2016;2105;1,46E+14;1,46E+14;0;0;0;1,46E+14;0;0;0;139;805;2442
1927972279;4/11/2016;1209;8,4E+14;8,4E+14;0;0;0;8,4E+14;0;0;0;73;842;2255
1927972279;4/12/2016;24;2E+14;2E+14;0;0;0;2E+14;0;0;0;3;161;942
2022484408;4/1/2016;13603;9,6E+14;9,6E+14;0;5,46E+14;6,3E+14;3,51E+14;0;72;16;213;1139;2645
2022484408;4/2/2016;5477;3,84E+14;3,84E+14;0;0;0;3,84E+14;0;0;0;237;1203;2040
2022484408;4/3/2016;11144;7,82E+14;7,82E+14;0;1,79E+14;8,9E+14;5,14E+13;0;25;22;279;1114;2395
2022484408;4/4/2016;15313;11;11;0;5,02E+14;1,29E+14;4,69E+14;0;62;19;233;1126;2581
2022484408;4/5/2016;10805;7,59E+14;7,59E+14;0;7,2E+14;9,8E+14;5,89E+13;0;36;37;298;1069;2735
2022484408;4/6/2016;15392;1,093E+14;1,093E+14;0;3,43E+13;175;575;0;47;42;258;1093;2733
2022484408;4/7/2016;18247;1,383E+14;1,383E+14;0;7,11E+13;2,21E+14;4,51E+14;0;72;62;252;1054;3021
2022484408;4/8/2016;13023;9,26E+14;9,26E+14;0;3,23E+14;5,6E+14;5,47E+14;0;40;12;296;1092;2577
2022484408;4/9/2016;16267;1,259E+14;1,259E+14;0;575;4,7E+14;6,37E+14;0;44;16;302;1078;2811
2022484408;4/10/2016;10005;7,02E+14;7,02E+14;0;8E+14;1,05E+14;5,9E+14;0;1;23;339;1077;2458
2022484408;4/11/2016;10106;7,09E+14;7,09E+14;0;1,21E+14;5,6E+14;5,33E+14;0;41;16;272;1111;2568
2022484408;4/12/2016;6717;4,72E+14;4,72E+14;0;3,23E+14;2,2E+14;1,27E+14;0;41;5;67;551;1140
2026352035;4/1/2016;2605;1,62E+14;1,62E+14;0;0;0;1,62E+14;0;0;0;166;729;1407
2026352035;4/2/2016;1229;7,6E+14;7,6E+14;0;0;0;7,6E+14;0;0;0;69;795;1237
2026352035;4/3/2016;2308;1,43E+14;1,43E+14;0;0;0;1,43E+14;0;0;0;115;720;1330
2026352035;4/4/2016;6679;4,14E+13;4,14E+13;0;0;0;4,14E+13;0;0;0;263;644;1583
2026352035;4/5/2016;5645;35;35;0;0;0;35;0;0;0;248;621;1538
2026352035;4/6/2016;3180;1,97E+14;1,97E+14;0;0;0;1,97E+14;0;0;0;185;738;1421
2026352035;4/7/2016;2767;1,72E+14;1,72E+14;0;0;0;1,72E+14;0;0;0;170;673;1392
2026352035;4/8/2016;3762;2,33E+14;2,33E+14;0;0;0;2,33E+14;0;0;0;173;719;1425
2026352035;4/9/2016;3098;1,92E+14;1,92E+14;0;0;0;1,92E+14;0;0;0;185;700;1413
2026352035;4/10/2016;5142;3,19E+14;3,19E+14;0;0;0;3,19E+14;0;0;0;230;654;1515
2026352035;4/11/2016;3279;2,03E+14;2,03E+14;0;0;0;2,03E+14;0;0;0;164;694;1405
2026352035;4/12/2016;1019;6,3E+14;6,3E+14;0;0;0;6,3E+14;0;0;0;64;223;600
2320127002;4/1/2016;0;0;0;0;0;0;0;0;0;0;0;1440;1324
2320127002;4/2/2016;0;0;0;0;0;0;0;0;0;0;0;1440;1324
2320127002;4/3/2016;0;0;0;0;0;0;0;0;0;0;0;1440;1324
2320127002;4/4/2016;0;0;0;0;0;0;0;0;0;0;0;1440;1324
2320127002;4/5/2016;4931;3,32E+13;3,32E+13;0;0;0;3,32E+13;0;0;0;175;1265;1708
2320127002;4/6/2016;6999;4,72E+14;4,72E+14;0;0;0;4,72E+14;0;0;0;320;1120;1950
2320127002;4/7/2016;1846;1,24E+14;1,24E+14;0;0;0;1,24E+14;0;0;0;93;1347;1508
2320127002;4/8/2016;3417;2,3E+14;2,3E+14;0;0;0;2,3E+14;0;0;0;153;1287;1625
2320127002;4/9/2016;4863;3,28E+14;3,28E+14;0;6E+14;4,2E+14;2,8E+14;0;1;11;208;1220;1772
2320127002;4/10/2016;2277;1,53E+14;1,53E+14;0;0;0;1,53E+14;0;0;0;103;1337;1530
2320127002;4/11/2016;11230;7,67E+14;7,67E+14;0;8,9E+14;1,2E+14;6,66E+14;0;10;2;390;1038;2206
2320127002;4/12/2016;2098;1,41E+13;1,41E+13;0;0;0;1,41E+13;0;0;0;69;617;790
2347167796;3/29/2016;10272;6,79E+14;6,79E+14;0;1,6E+14;3,12E+14;35;0;2;58;208;700;2041
2347167796;3/30/2016;10533;7,1E+14;7,1E+14;0;1,77E+14;2,06E+14;3,27E+14;0;21;35;255;615;2187
2347167796;3/31/2016;6760;4,47E+14;4,47E+14;0;0;0;4,47E+14;0;0;0;250;613;1929
2347167796;4/1/2016;8328;5,51E+14;5,51E+14;0;0;2;35;0;0;33;212;804;1935
2347167796;4/2/2016;15459;1,022E+14;1,022E+14;0;3,59E+14;8,1E+14;5,82E+14;0;51;16;327;583;2438
2347167796;4/3/2016;7485;4,95E+14;4,95E+14;0;0;0;4,95E+14;0;0;0;324;491;2035
2347167796;4/4/2016;10254;6,8E+14;6,8E+14;0;1,42E+14;1,23E+14;4,16E+14;0;21;25;231;638;2099
2347167796;4/5/2016;10114;6,82E+14;6,82E+14;0;1,64E+14;4,8E+14;4,68E+14;0;18;9;269;696;2096
2347167796;4/6/2016;11107;7,34E+14;7,34E+14;0;9E+14;2,76E+14;3,68E+13;0;14;46;196;759;2058
2347167796;4/7/2016;10320;6,85E+14;6,85E+14;0;6,8E+14;1,23E+14;4,94E+14;0;15;32;315;1002;2338
2347167796;4/8/2016;10209;675;675;0;1,6E+14;3,5E+14;6,23E+14;0;2;6;316;711;2104
2347167796;4/9/2016;16081;1,063E+14;1,063E+14;0;125;1,82E+14;7,56E+14;0;16;32;401;970;2488
2347167796;4/10/2016;10078;6,83E+14;6,83E+14;0;1,02E+14;1,2E+14;5,69E+14;0;12;3;303;463;2164
2347167796;4/11/2016;10001;6,61E+13;6,61E+13;0;3,3E+14;2,93E+13;3,36E+14;0;5;52;196;788;2009
2347167796;4/12/2016;0;0;0;0;0;0;0;0;0;0;0;425;399
2873212765;4/1/2016;890;6E+14;6E+14;0;0;0;6E+14;0;0;0;41;1399;1335
2873212765;4/2/2016;2214;1,49E+14;1,49E+14;0;0;0;1,49E+14;0;0;0;197;1243;1559
2873212765;4/3/2016;7640;5,13E+14;5,13E+14;0;1,9E+14;8E+14;4,15E+14;0;3;15;315;1107;1845
2873212765;4/4/2016;9713;6,53E+14;6,53E+14;0;3,4E+14;8,9E+14;5,29E+14;0;6;24;355;1055;2046
2873212765;4/5/2016;8432;5,67E+14;5,67E+14;0;0;0;5,65E+14;1E+15;0;0;374;1066;1953
2873212765;4/6/2016;7350;4,94E+14;4,94E+14;0;0;0;4,94E+14;0;0;0;382;1058;1910
2873212765;4/7/2016;9353;6,31E+14;6,31E+14;0;3,7E+14;6,9E+14;5,24E+14;0;5;17;363;1055;2035
2873212765;4/8/2016;7157;4,81E+14;4,81E+14;0;0;0;4,81E+14;0;0;0;380;1060;1944
2873212765;4/9/2016;14103;9,56E+13;9,56E+13;0;3,02E+14;4,1E+14;6,14E+13;1E+15;46;8;288;1098;2257
2873212765;4/10/2016;5290;3,55E+14;3,55E+14;0;4E+14;3,4E+14;3,17E+14;0;1;8;251;1180;1724
2873212765;4/11/2016;7497;5,04E+14;5,04E+14;0;0;0;5,04E+14;0;0;0;357;882;1741
2873212765;4/12/2016;0;0;0;0;0;0;0;0;0;0;0;1440;0
2891001357;3/29/2016;0;0;0;0;0;0;0;0;0;0;0;1440;1920
2891001357;3/30/2016;0;0;0;0;0;0;0;0;0;0;0;1440;1920
2891001357;3/31/2016;0;0;0;0;0;0;0;0;0;0;0;1440;1920
2891001357;4/1/2016;0;0;0;4,82803E+14;0;0;0;0;0;660;0;780;4562
2891001357;4/2/2016;4126;3,22E+14;0;3,21869E+14;0;0;3,22E+14;0;0;0;720;720;2881
2891001357;4/3/2016;0;0;0;0;0;0;0;0;0;0;0;1440;1920
2891001357;4/4/2016;0;0;0;0;0;0;0;0;0;0;0;1440;1920
2891001357;4/5/2016;2063;1,61E+14;0;1,60934E+14;0;0;1,61E+14;0;0;0;630;99;1144
3372868164;4/1/2016;5785;3,95E+14;3,95E+14;0;0;0;3,91E+14;4E+14;0;0;311;1129;1852
3372868164;4/2/2016;7625;5,23E+14;5,23E+14;0;1,68E+14;4E+14;35;1E+15;24;1;341;1074;2069
3372868164;4/3/2016;4706;3,21E+14;3,21E+14;0;0;0;3,21E+14;0;0;0;299;1141;1816
3372868164;4/4/2016;5861;4,02E+14;4,02E+14;0;1,3E+14;2,2E+14;2,49E+14;1E+15;20;7;233;1180;1878
3372868164;4/5/2016;4460;3,04E+14;3,04E+14;0;0;0;3,02E+14;3E+14;0;0;248;1192;1787
3372868164;4/6/2016;6406;4,39E+13;4,39E+13;0;7,8E+14;9E+14;3,52E+14;1E+15;17;4;325;1094;2010
3372868164;4/7/2016;7392;5,1E+14;5,1E+14;0;8,7E+14;1,6E+14;4,05E+14;2E+14;14;9;332;1085;2038
3372868164;4/8/2016;5551;3,79E+14;3,79E+14;0;0;0;3,77E+14;1E+15;0;0;282;1158;1815
3372868164;4/9/2016;8827;625;625;0;1,77E+14;4,8E+14;4;1E+15;21;10;346;1063;2062
3372868164;4/10/2016;4662;3,18E+13;3,18E+13;0;1,04E+14;1,5E+14;1,99E+14;0;22;4;152;735;1276
3977333714;4/1/2016;4499;3,01E+14;3,01E+14;0;0;0;3,01E+14;0;0;0;168;842;1288
3977333714;4/2/2016;7618;5,1E+14;5,1E+14;0;0;1,8E+14;4,91E+14;0;0;6;302;842;1490
3977333714;4/3/2016;11508;7,7E+14;7,7E+14;0;2,17E+14;8,4E+14;4,69E+14;0;29;22;282;748;1630
3977333714;4/4/2016;11943;7,99E+14;7,99E+14;0;1,03E+14;2,01E+14;4,95E+14;0;16;43;297;710;1648
3977333714;4/5/2016;12303;8,23E+14;8,23E+14;0;1,71E+14;1,35E+14;5,17E+14;0;26;32;291;605;1649
3977333714;4/6/2016;15425;1,032E+14;1,032E+14;0;1,62E+14;1,82E+14;6,87E+14;0;24;45;331;614;1783
3977333714;4/7/2016;8422;5,63E+14;5,63E+14;0;0;3,6E+14;2,04E+14;0;0;81;139;815;1431
3977333714;4/8/2016;10226;6,84E+14;6,84E+14;0;0;4,44E+14;2,4E+14;0;0;101;174;685;1524
3977333714;4/9/2016;14583;9,76E+14;9,76E+14;0;2,48E+14;1,74E+14;5,53E+14;0;35;36;254;697;1697
3977333714;4/10/2016;3573;2,39E+14;2,39E+14;0;9,4E+14;4,1E+14;9,7E+14;0;15;8;99;866;1232
3977333714;4/11/2016;3108;2,14E+14;2,14E+14;0;7E+14;4E+14;1,96E+14;0;1;1;129;894;1223
3977333714;4/12/2016;759;5,7E+14;5,7E+14;0;0;0;5,7E+14;0;0;0;17;187;182
4020332650;3/12/2016;5543;3,97E+14;3,97E+14;0;0;0;3,96E+14;1E+15;0;0;254;757;2990
4020332650;3/13/2016;3226;2,31E+14;2,31E+14;0;0;0;2,28E+14;0;0;0;136;771;2480
4020332650;3/14/2016;3023;2,17E+14;2,17E+14;0;0;0;2,14E+14;0;0;0;145;1005;2570
4020332650;3/15/2016;5906;4,23E+14;4,23E+14;0;0;1,6E+14;4,04E+14;0;0;10;215;874;3016
4020332650;3/16/2016;12483;8,99E+14;8,99E+14;0;1,45E+14;5,7E+14;6,9E+14;0;25;14;309;599;3830
4020332650;3/17/2016;8940;6,41E+14;6,41E+14;0;0;0;6,1E+14;4E+14;0;0;47;986;3706
4020332650;3/18/2016;368;2,6E+14;2,6E+14;0;0;0;0;0;0;0;0;1440;2024
4020332650;3/19/2016;5702;4,09E+14;4,09E+14;0;0;0;0;0;0;0;0;1440;2980
4020332650;3/20/2016;10330;7,41E+14;7,41E+14;0;0;0;0;0;0;0;0;1440;3728
4020332650;3/21/2016;8778;6,29E+14;6,29E+14;0;0;0;0;0;0;0;0;1440;3348
4020332650;3/22/2016;6662;4,78E+14;4,78E+14;0;0;0;0;0;0;0;0;1440;3162
4020332650;3/23/2016;6309;4,52E+14;4,52E+14;0;0;0;0;0;0;0;0;1440;3140
4020332650;3/24/2016;1951;1,41E+13;1,41E+13;0;0;0;0;0;0;0;0;1440;1980
4020332650;3/25/2016;5563;3,99E+14;3,99E+14;0;0;0;0;0;0;0;0;1440;3681
4020332650;3/26/2016;4370;3,13E+14;3,13E+14;0;0;0;0;0;0;0;0;1440;3444
4020332650;3/27/2016;7144;5,12E+14;5,12E+14;0;0;0;0;0;0;0;0;1440;3510
4020332650;3/28/2016;2106;1,51E+14;1,51E+14;0;2E+14;5E+14;2,1E+14;0;31;45;75;1289;4010
4020332650;3/29/2016;4152;2,98E+14;2,98E+14;0;0;0;2,96E+14;0;0;0;187;1253;2976
4020332650;3/30/2016;5400;3,87E+14;3,87E+14;0;0;0;3,85E+14;0;0;0;258;795;3418
4020332650;3/31/2016;7428;5,33E+14;5,33E+14;0;8,7E+14;9,2E+14;3,51E+14;0;18;33;261;860;3439
4020332650;4/1/2016;5351;3,84E+14;3,84E+14;0;6,2E+14;1,8E+14;3,01E+14;0;15;17;210;748;3338
4020332650;4/2/2016;4299;3,1E+14;3,1E+14;0;9E+14;2,1E+14;2,74E+14;4E+14;3;15;162;752;2892
4020332650;4/3/2016;6107;4,38E+14;4,38E+14;0;0;0;4,36E+13;0;0;0;265;776;3313
4020332650;4/4/2016;6429;4,6E+14;4,6E+14;0;0;9,5E+14;3,65E+14;0;0;28;193;741;3118
4020332650;4/5/2016;6880;4,93E+14;4,93E+14;0;5;7,6E+14;3,65E+14;0;7;19;165;1249;2966
4020332650;4/6/2016;7476;5,36E+13;5,36E+13;0;0;0;5,31E+14;0;0;0;263;920;3253
4020332650;4/7/2016;6581;4,72E+14;4,72E+14;0;0;2,9E+13;4,39E+13;0;0;8;241;1191;3032
4020332650;4/8/2016;10480;7,51E+14;7,51E+14;0;4,1E+14;1,47E+14;5,01E+14;4E+14;6;37;272;1125;4034
4020332650;4/9/2016;7734;5,55E+14;5,55E+14;0;1,16E+13;4,9E+14;3,82E+13;6E+14;20;12;223;1185;3264
4020332650;4/10/2016;5129;3,68E+13;3,68E+13;0;1,8E+14;2,4E+14;3,21E+14;1E+15;5;7;176;1178;2817
4020332650;4/11/2016;2993;2,15E+14;2,15E+14;0;0;0;2,09E+14;0;0;0;114;888;2507
4020332650;4/12/2016;8;1E+15;1E+15;0;0;0;1E+15;0;0;0;1;321;446
4057192912;3/12/2016;0;0;0;0;0;0;0;0;0;0;0;1440;1777
4057192912;3/13/2016;0;0;0;0;0;0;0;0;0;0;0;1440;1777
4057192912;3/14/2016;8433;6,23E+14;6,23E+14;0;2,45E+14;3,3E+14;3,44E+14;0;30;7;135;1268;2453
4057192912;3/15/2016;0;0;0;0;0;0;0;0;0;0;0;1440;1776
4057192912;3/16/2016;2139;1,56E+14;1,56E+14;0;0;1,3E+14;2,6E+14;0;0;28;15;1397;1935
4057192912;3/17/2016;0;0;0;0;0;0;0;0;0;0;0;1440;1776
4057192912;3/18/2016;949;6,9E+14;6,9E+14;0;0;0;6,9E+14;0;0;0;34;1406;1870
4057192912;3/19/2016;0;0;0;0;0;0;0;0;0;0;0;1440;1777
4057192912;3/20/2016;44;3E+14;3E+14;0;0;0;3E+14;0;0;0;2;1438;1782
4057192912;3/21/2016;2660;1,94E+14;1,94E+14;0;0;0;1,94E+14;0;0;0;46;1394;1978
4057192912;3/22/2016;5561;4,19E+14;4,19E+14;0;0;0;4,07E+14;0;0;0;169;1271;2296
4057192912;3/23/2016;7239;5,34E+14;5,34E+14;0;5,5E+14;3,6E+14;4,38E+14;0;7;7;190;1236;2484
4057192912;3/24/2016;7;1E+15;1E+15;0;0;0;1E+15;0;0;0;1;1439;1787
4057192912;3/25/2016;0;0;0;0;0;0;0;0;0;0;0;1440;1776
4057192912;3/26/2016;0;0;0;0;0;0;0;0;0;0;0;1440;1776
4057192912;3/27/2016;2275;1,68E+14;1,68E+14;0;0;0;1,66E+13;0;0;0;86;1354;2005
4057192912;3/28/2016;8;1E+15;1E+15;0;0;0;1E+15;0;0;0;1;1439;1778
4057192912;3/29/2016;5137;3,76E+14;3,76E+14;0;0;0;3,76E+14;0;0;0;160;1280;2293
4057192912;3/30/2016;5419;4;4,57E+14;5,5843E+13;0;0;3,91E+14;6E+14;0;0;145;1295;2259
4057192912;3/31/2016;0;0;0;0;0;0;0;0;0;0;0;1440;1776
4057192912;4/1/2016;0;0;0;0;0;0;0;0;0;0;0;1440;1776
4057192912;4/2/2016;0;0;0;0;0;0;0;0;0;0;0;1440;1776
4057192912;4/3/2016;0;0;0;0;0;0;0;0;0;0;0;1440;1776
4057192912;4/4/2016;0;0;0;0;0;0;0;0;0;0;0;1440;1776
4057192912;4/5/2016;0;0;0;0;0;0;0;0;0;0;0;1440;1776
4057192912;4/6/2016;18;1E+15;1E+15;0;0;0;1E+15;0;0;0;2;1438;1780
4057192912;4/7/2016;4;0;0;0;0;0;0;0;0;0;1;1439;1778
4057192912;4/8/2016;8426;6,16E+14;6,16E+14;0;1,3E+14;5,49E+14;5,4E+14;0;2;120;25;1293;2360
4057192912;4/9/2016;1650;1,21E+14;1,21E+14;0;0;0;1,21E+14;0;0;0;60;1380;1952
4057192912;4/10/2016;3434;2,51E+14;2,51E+14;0;7E+14;3E+14;2,14E+14;0;1;7;108;1324;2101
4057192912;4/11/2016;6801;4,98E+14;4,98E+14;0;0;0;4,97E+14;0;0;0;193;1247;2393
4057192912;4/12/2016;187;1,4E+14;1,4E+14;0;0;0;1,4E+14;0;0;0;11;400;538
4319703577;3/29/2016;5643;3,79E+14;3,79E+14;0;2,3E+14;3,3E+14;3,23E+14;0;3;8;199;683;1958
4319703577;3/30/2016;9043;6,07E+14;6,07E+14;0;25;4,3E+14;5,37E+14;0;4;12;244;702;2141
4319703577;3/31/2016;8144;5,46E+14;5,46E+14;0;25;6,1E+14;4,61E+13;0;4;17;247;1125;2129
4319703577;4/1/2016;9343;6,27E+14;6,27E+14;0;9,6E+14;8,5E+14;4,46E+14;0;14;20;268;654;2216
4319703577;4/2/2016;8405;5,66E+14;5,66E+14;0;1,13E+14;1,9E+14;4,34E+14;0;15;4;257;621;2154
4319703577;4/3/2016;8223;5,52E+14;5,52E+14;0;8E+14;1,51E+14;3,21E+14;0;12;37;257;551;2178
4319703577;4/4/2016;10067;6,76E+14;6,76E+14;0;3,6E+14;1,42E+14;4,97E+14;0;5;39;313;578;2308
4319703577;4/5/2016;8359;5,63E+14;5,63E+14;0;2,3E+14;5,3E+14;4,87E+14;0;3;14;311;638;2201
4319703577;4/6/2016;10946;7,35E+14;7,35E+14;0;5,4E+14;2,09E+14;4,72E+14;0;8;51;308;569;2341
4319703577;4/7/2016;9130;6,15E+14;6,15E+14;0;5;3,8E+14;5,27E+14;0;7;11;304;668;2236
4319703577;4/8/2016;6544;4,41E+14;4,41E+14;0;2,9E+13;2,6E+14;3,86E+14;0;4;6;276;1132;2069
4319703577;4/9/2016;0;0;0;0;0;0;0;0;0;0;0;1440;0
4388161847;3/29/2016;0;0;0;0;0;0;0;0;0;0;0;1440;1878
